slno,BRAND_NAME
B331,AMALGAMATED BEAN COFFEE TRADE
B332,ZODHITA HEALTH SOLUTIONS PVT L
B333,SOLITAIRE MARKETERS
B334,SAFE HARVEST PRIVATE LIMITED
B335,JAMSONS INDUSTRIES
B336,AJFAN DATES
B337,NEW AGRO MARKETING
B338,RELIABLE CASHEW COMPANY PVT LT
B339,NATURO FOOD AND FRUIT PRODUCT
B340,PURE & SURE
B341,EASTER CASHEW
B342,MODI NATURALS LIMITED
B343,SRESTA NATURAL BIOPRODUCT PVT.
B344,VIJAY PRODUCTS
B345,SRI CHAMUNDI
B346,NAGA LIMITED RETAIL
B347,SHEETAL REFINERIES PVT. LTD.
B348,KWALITY FOOD & MASALA PRODUCTS
B349,R-PURE AGRO PRODUCTS PVT.LTD
B350,JUNOOS FOODS
B351,INOX FMCG PRIVATE LTD
B352,DAADI'S
B353,EVEXIA NUTRITIONS PRIVATE LTD
B354,MAK STRATEGIC MARKETING ASSOC
B355,MUDDY PUDDLE PVT LTD
B356,SOUTH INDIAN TRADERS
B357,JAIN GRUHA FOODS PRIVATE LIMIT
B358,UNITECH PRODUCTS
B359,HOLLYLAND MARKETING PVT. LTD
B360,AMMAS FOOD PRODUCTS
B361,BELLAPREMIER HAPPY HYGIENECARE
B362,HAIRIZON BEAUTY CENTRE
B363,IMPORTED EDIBLE OILS
B364,DAIRY FARM COMPANY LIMITED
B365,MUDRA EXPORTS
B366,MY AGENCIES FARM FRESH
B367,METRO - SNACKS
B368,LOVINCARE COSMETICS PVT. LTD.
B369,HEALTH & GLOW RETAILING
B370,HASIRU FOODS PRIVATE LIMITED
B371,ID FRESH FOOD INDIA PVT LTD
B372,BREADWORKS GOURMENT FOODS
B373,CEAARS SPECIALITY FOODS PVT LT
B374,CONVENIENCE FOODS INDIA
B375,M/S. CREAMLINE AND NUTRIENTS L
B376,CCD DAILY BREAD (P) LTD
B377,IMPORTED HEALTH AND BEAUTY
B378,DANONE FOODS&BEVERAGES INDIA (PROTENIEX)
B379,VASU AGARBATHY
B380,ANANTA HYGIENE
B381,NECTAR FRESH
B382,BAKERS INN GLOBAL PRIVATE LIMI
B383,LOTUS
B384,PRESTO INDUSTRIES (ROOTS)
B385,KOYA'S PERFUMERY  WORKS
B386,VINDEEP ASSOCIATES
B387,GLIDE
B388,FRESH & HONEST CAFE LIMITED
B389,CREMICA
B390,CONSCIOUS FOOD PVT LTD
B391,MORARKA ORGANIC FOODS LTD
B392,SIVA FARM PRODUCTS
B393,VIJI PRODUCTS
B394,SANJAY CONDIMENTS
B395,SHWETHA KRISHNA ENTERPRISES
B396,WHOLE FOOD INDIA ( CONFECTIONA
B397,MORTON INDIA
B398,MILTOP EXPORTS
B399,KIMS
B400,SUBLIME
B401,FIZZY FOOD LABS
B402,MOKSH AGARBATTI CO
B403,LIWAYWAY FOODS INDIA PVT LTD
